DATE,VIX,New_Stock_Price,LCR,Net_income,Cost_income_ratio,ROE,CET1_ratio,CDS_Spread
2018-01-01,9.77,17.88,208.52,694.34,74.33,6.75,12.93,50.95
2018-01-02,9.77,17.88,207.86,697.36,73.78,6.65,13.0,50.95
2018-01-03,9.15,18.06,208.67,691.56,73.7,6.74,12.89,50.94
2018-01-04,9.22,18.29,209.58,692.86,74.28,6.7,12.93,47.95
2018-01-05,9.22,18.1,207.76,692.64,74.02,6.67,12.94,46.46
2018-01-06,9.22,18.1,207.76,688.92,74.36,6.72,12.87,46.46
2018-01-07,9.22,18.1,209.64,695.03,74.28,6.71,12.91,46.46
2018-01-08,9.52,18.17,208.8,694.91,74.07,6.68,12.9,47.45
2018-01-09,10.08,18.01,207.51,694.02,73.79,6.7,12.91,49.45
2018-01-10,9.82,18.3,208.56,693.19,73.54,6.69,12.85,49.94
2018-01-11,9.88,18.75,207.52,689.09,73.93,6.7,12.9,50.44
2018-01-12,10.16,18.96,207.52,692.54,74.42,6.72,12.93,47.94
2018-01-13,10.16,18.96,208.25,692.81,74.18,6.75,12.99,47.94
2018-01-14,10.16,18.96,206.01,691.22,73.64,6.66,12.96,47.94
2018-01-15,10.16,18.96,206.21,693.44,74.16,6.77,13.04,47.94
2018-01-16,11.66,18.85,207.42,695.4,74.24,6.63,12.85,47.94
2018-01-17,11.91,18.72,206.95,700.55,73.77,6.69,12.96,47.94
2018-01-18,12.22,18.93,208.33,694.61,74.16,6.72,12.91,47.94
2018-01-19,11.27,19.06,207.06,694.89,74.12,6.71,13.04,45.45
2018-01-20,11.27,19.06,206.53,693.74,73.68,6.68,12.85,45.45
2018-01-21,11.27,19.06,209.52,687.34,74.23,6.69,12.85,45.45
2018-01-22,11.03,19.34,207.77,693.91,74.31,6.68,12.86,45.22
2018-01-23,11.1,19.32,208.07,694.21,74.5,6.68,12.76,45.45
2018-01-24,11.47,19.64,206.52,702.55,74.49,6.73,12.87,44.0
2018-01-25,11.58,19.62,207.43,693.33,73.59,6.71,12.85,44.0
2018-01-26,11.08,19.98,208.12,695.05,73.75,6.68,12.91,43.0
2018-01-27,11.08,19.98,206.8,693.88,74.29,6.73,12.92,43.0
2018-01-28,11.08,19.98,208.39,689.94,74.29,6.71,13.02,43.0
2018-01-29,13.84,19.62,207.38,697.97,74.29,6.73,12.96,44.0
2018-01-30,14.79,19.4,207.7,696.61,75.53,6.72,12.86,44.44
2018-01-31,13.54,19.34,207.37,696.74,74.31,6.67,12.84,45.44
2018-02-01,13.47,19.71,209.93,690.84,74.52,6.68,12.93,44.22
2018-02-02,17.31,19.13,207.99,698.87,74.45,6.73,12.81,43.95
2018-02-03,17.31,19.13,206.9,689.14,74.34,6.72,13.02,43.95
2018-02-04,17.31,19.13,208.86,696.04,73.98,6.7,12.98,43.95
2018-02-05,37.32,18.37,206.73,701.6,74.38,6.7,12.87,45.44
2018-02-06,29.98,18.0,208.22,690.56,73.81,6.74,12.79,46.43
2018-02-07,27.73,18.03,205.96,692.03,74.01,6.68,12.99,49.43
2018-02-08,33.46,17.19,206.62,694.35,73.92,6.72,12.89,48.42
2018-02-09,29.06,17.56,208.2,692.25,74.13,6.69,12.98,54.92
2018-02-10,29.06,17.56,208.77,688.62,74.96,6.69,12.8,54.92
